1,2767052,272,"Suzanne Collins",2008,"The Hunger Games (The Hunger Games, #1)",4.34,"eng","https://images.gr-assets.com/books/1447303603m/2767052.jpg","https://images.gr-assets.com/books/1447303603s/2767052.jpg",,
2,3,491,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,"eng","https://images.gr-assets.com/books/1474154022m/3.jpg","https://images.gr-assets.com/books/1474154022s/3.jpg",,
3,41865,226,"Stephenie Meyer",2005,"Twilight (Twilight, #1)",3.57,"en-US","https://images.gr-assets.com/books/1361039443m/41865.jpg","https://images.gr-assets.com/books/1361039443s/41865.jpg",,
4,2657,487,"Harper Lee",1960,"To Kill a Mockingbird",4.25,"eng","https://images.gr-assets.com/books/1361975680m/2657.jpg","https://images.gr-assets.com/books/1361975680s/2657.jpg",,
5,4671,1356,"F. Scott Fitzgerald",1925,"The Great Gatsby",3.89,"eng","https://images.gr-assets.com/books/1490528560m/4671.jpg","https://images.gr-assets.com/books/1490528560s/4671.jpg",,
6,11870085,226,"John Green",2012,"The Fault in Our Stars",4.26,"eng","https://images.gr-assets.com/books/1360206420m/11870085.jpg","https://images.gr-assets.com/books/1360206420s/11870085.jpg",,
7,5907,969,"J.R.R. Tolkien",1937,"The Hobbit",4.25,"en-US","https://images.gr-assets.com/books/1372847500m/5907.jpg","https://images.gr-assets.com/books/1372847500s/5907.jpg",,
8,5107,360,"J.D. Salinger",1951,"The Catcher in the Rye",3.79,"eng","https://images.gr-assets.com/books/1398034300m/5107.jpg","https://images.gr-assets.com/books/1398034300s/5107.jpg",,
9,960,311,"Dan Brown",2000,"Angels & Demons  (Robert Langdon, #1)",3.85,"en-CA","https://images.gr-assets.com/books/1303390735m/960.jpg","https://images.gr-assets.com/books/1303390735s/960.jpg",,
10,1885,3455,"Jane Austen",1813,"Pride and Prejudice",4.24,"eng","https://images.gr-assets.com/books/1320399351m/1885.jpg","https://images.gr-assets.com/books/1320399351s/1885.jpg",,
11,77203,283,"Khaled Hosseini",2003,"The Kite Runner",4.26,"eng","https://images.gr-assets.com/books/1484565687m/77203.jpg","https://images.gr-assets.com/books/1484565687s/77203.jpg",,
12,13335037,210,"Veronica Roth",2011,"Divergent (Divergent, #1)",4.24,"eng","https://images.gr-assets.com/books/1328559506m/13335037.jpg","https://images.gr-assets.com/books/1328559506s/13335037.jpg",,
13,5470,995,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,4.14,"eng","https://images.gr-assets.com/books/1348990566m/5470.jpg","https://images.gr-assets.com/books/1348990566s/5470.jpg",,
14,7613,896,"George Orwell",1945,"Animal Farm",3.87,"eng","https://images.gr-assets.com/books/1424037542m/7613.jpg","https://images.gr-assets.com/books/1424037542s/7613.jpg",,
15,48855,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,"The Diary of a Young Girl",4.1,"eng","https://images.gr-assets.com/books/1358276407m/48855.jpg","https://images.gr-assets.com/books/1358276407s/48855.jpg",,
16,2429135,274,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,"eng","https://images.gr-assets.com/books/1327868566m/2429135.jpg","https://images.gr-assets.com/books/1327868566s/2429135.jpg",,
17,6148028,201,"Suzanne Collins",2009,"Catching Fire (The Hunger Games, #2)",4.3,"eng","https://images.gr-assets.com/books/1358273780m/6148028.jpg","https://images.gr-assets.com/books/1358273780s/6148028.jpg",,
18,5,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,"eng","https://images.gr-assets.com/books/1499277281m/5.jpg","https://images.gr-assets.com/books/1499277281s/5.jpg",,
19,34,566,"J.R.R. Tolkien",1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,"eng","https://images.gr-assets.com/books/1298411339m/34.jpg","https://images.gr-assets.com/books/1298411339s/34.jpg",,
20,7260188,239,"Suzanne Collins",2010,"Mockingjay (The Hunger Games, #3)",4.03,"eng","https://images.gr-assets.com/books/1358275419m/7260188.jpg","https://images.gr-assets.com/books/1358275419s/7260188.jpg",,
21,2,307,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,"eng","https://images.gr-assets.com/books/1387141547m/2.jpg","https://images.gr-assets.com/books/1387141547s/2.jpg",,
22,12232938,183,"Alice Sebold",2002,"The Lovely Bones",3.77,"eng","https://images.gr-assets.com/books/1457810586m/12232938.jpg","https://images.gr-assets.com/books/1457810586s/12232938.jpg",,
23,15881,398,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,"eng","https://images.gr-assets.com/books/1474169725m/15881.jpg","https://images.gr-assets.com/books/1474169725s/15881.jpg",,
